year-month,EU,PU,EPU,RPU,REPU
2009-6,126.9455455,101.8268597,110.208526,142.0444295,94.51982299
2009-7,108.7886172,106.3258625,92.75708242,97.81073157,131.5739856
2009-8,98.1596332,112.908318,90.96389613,111.0648911,73.84221299
2009-9,99.73720535,91.9166506,104.8374465,69.09536946,98.88808692
2009-10,113.8652854,111.7954972,111.2637329,99.69564359,115.108832
2009-11,124.3958082,96.07772055,93.77475924,44.77065208,64.22628594
2009-12,127.5076801,115.3289242,112.7607416,130.2057732,150.649201
2010-1,126.9408203,93.67616888,132.1297455,104.1529796,142.2478991
2010-2,120.4030589,99.88292298,126.443321,101.2722765,129.1147243
2010-3,136.9935806,151.9883994,137.1370189,54.41465744,65.14516677
2010-4,153.5575514,137.8482537,184.5564609,207.1700595,294.2068223
2010-5,190.3740387,186.8577495,221.8703135,319.828433,328.1573162
2010-6,138.9807648,150.9063253,178.7983785,282.4457015,330.5010478
2010-7,202.3847555,171.2220169,251.652667,308.9253992,380.8143865
2010-8,172.2876433,147.4193893,168.8847316,113.7309567,127.553432
2010-9,233.5214861,172.1721547,254.5290397,188.6498981,232.2018255
2010-10,190.5795733,161.8524688,204.2439701,194.7779979,268.5083731
2010-11,167.78151,183.1611612,233.0357749,186.4743295,245.9519874
2010-12,175.6642059,170.9187157,200.1236625,110.3208394,115.3267117
2011-1,157.8968453,148.9986402,176.1203254,137.9920326,223.8034098
2011-2,132.8481085,131.9921947,135.8685848,159.1400393,122.1246173
2011-3,157.9041197,168.965403,175.2839383,168.7337561,159.1108547
2011-4,170.7491576,168.4299804,163.3014267,171.9563073,200.3942758
2011-5,127.3341654,135.5867765,114.8183497,72.53024429,101.0917619
2011-6,173.0387679,150.7206618,173.0347366,102.7178617,146.609854
2011-7,269.5252976,219.2207545,300.4795902,209.4738671,317.0492654
2011-8,357.2046162,233.3242461,370.6733561,259.9268059,400.6930049
2011-9,227.1743888,170.9881791,241.8719434,263.4901593,320.4941959
2011-10,245.308632,147.8380815,223.8369073,181.7292957,272.1064481
2011-11,263.9278081,139.1056035,182.1788077,146.4657395,154.4260294
2011-12,228.245295,183.315988,215.5790032,216.8805809,194.3972318
2012-1,211.8096144,172.9860109,207.2916212,187.2941411,217.6093002
2012-2,196.4139543,167.9902841,174.0529553,234.1142758,197.6401922
2012-3,164.8811321,152.5581427,150.3736759,180.6730634,196.8595567
